numStages,elapsedTime,executorRunTime,executorCpuTime,loadTime,loadMemory,processTime,processMemory,numNodes,numEdges
141,19855,8338,5302,5758,41390112,15370,124955072,433,140672
141,24292,20933,15289,8599,70582080,16595,-99010048,1363,1392672
141,26496,24386,18725,8929,49879048,18825,120476200,1737,2262802
141,26123,19462,13986,9242,76546048,17430,94864496,1090,891665
141,18854,15973,13053,5383,62643328,14025,1287936,1099,906415
141,25755,22547,17538,8705,77031424,18176,24157800,1631,1993868
141,26394,22041,15684,8971,64905520,18509,36327808,1225,1125223
141,23482,19949,14625,7395,59952768,16963,24738464,1343,1352570
141,18357,17507,14363,5298,76019712,14482,116726656,1332,1330189
141,26301,23659,17703,9140,71470488,18528,-108019296,1614,1953913
141,24032,18822,14271,8114,39821416,17503,24987792,1184,1191201
141,23379,18048,13334,8363,17923336,16507,116075248,1074,980763
141,25098,22183,16765,8175,58200448,17577,59272712,1479,1858117


